jp	tw	en	kr
おかめ道場 中級	謀略道場 中級	Cat Jobs (Normal)	척척박사 중급
おかめ道場 上級	謀略道場 高級	Cat Jobs (Hard)	척척박사 상급
狙撃の名手 初級	狙擊神人 初級	Sniper Cat (Easy)	저격의 명수 초급
狙撃の名手 中級	狙擊神人 中級	Sniper Cat (Normal)	저격의 명수 중급
狙撃の名手 上級	狙擊神人 高級	Sniper Cat (Hard)	저격의 명수 상급
ネコでもできるもん 初級	貓咪也能做的事 初級	Helpful Cat (Easy)	가시밭길 초급
ネコでもできるもん 中級	貓咪也能做的事 中級	Helpful Cat (Normal)	가시밭길 중급
ネコでもできるもん 上級	貓咪也能做的事 高級	Helpful Cat (Hard)	가시밭길 상급
経験は蜜の味 初級	經驗如蜜 初級	Sweet XP (Easy)	경험은 꿀맛 초급
経験は蜜の味 中級	經驗如蜜 中級	Sweet XP (Normal)	경험은 꿀맛 중급
経験は蜜の味 上級	經驗如蜜 高級	Sweet XP (Hard)	경험은 꿀맛 상급
恋のメタカバ 上級	戀愛的鋼鐵河馬 高級	Love, Metal Hippoe (Hard)	러브 메탈하마 상급
超メタル降臨 激ムズ	超級鋼鐵降臨 困難	Super Metal Hippoe (Expert)	초 메탈 고난도
激アツ！運動会	超熱烈！運動會	Athletic Meet	한발 늦은 운동회
アンチハロウィン	反萬聖節	Anti Halloween	우리 팀 이겨라!!
勝者と敗者	勝者與敗者	Winning and Losing	다 같이 영차영차
毎日ごくろうさまです	每天辛苦了	Weeklong Meetings	감사합니다
おはようございます	早安	Co-workers don't work	안녕하십니까
失礼いたします	對不起打擾一下	Stress Relief Stress	실례하겠습니다
おつかれさまです	您辛苦了	Jobs in Jobs Security	수고하셨습니다
申し訳ございません	非常抱歉	Pay without Leave	죄송합니다
私、もう辞めます。	我要辭職了	Value of Last Minute	그만두겠습니다!
クリスマス・イヴ	平安夜	That Night	이브의 밤
聖夜に灯るひとつの恋	聖夜點亮的戀愛	That Song	울려퍼지는 캐롤
あったかいシチュー	熱呼呼的燉湯	Warm Stew	불타오르는 촛불
雪と猫	雪與貓	Cat & Snow	눈꽃 세계
おじさんがサンタだよ	大叔是聖誕老人唷	Part Time Santa	산타는 일당제
サンタorサタン!?	聖誕還是撒旦!?	Santa or Satan!?	사탄과 산타
異国のサンタも金次第	異國的聖誕老人也向錢看	Santa is on Salary	사탄 동생은 오탄
君にメリークリスマス！	祝你聖誕快樂！	Happy Merry X-mas	해피 크리스마스
今年も年賀状ゼロ	今年賀年卡也掛蛋	No Happy Holidays	자, 건배!
モチ太り	新年胖	Holiday Diet Fail	담소의 시간
大荒れ成人式	大混亂的成人儀式	No More Resolutions	원 샷
初詣という名の口実	假藉新年拜拜之名	Just One More Drink	한 잔 더 어때?
初夢が淫夢	初夢是春夢	After After Party	3차의 시작
お賽銭５円の効果	5塊香油錢的效果	Forgot the Countdown	아직 멀었어
おモチvsそうじ機	年糕vs吸塵器	Blackout	필름 끊김
いくつになってもお年玉	不管幾歲都有壓歲錢	Hangover	숙취
鬼は外、福は内	鬼在外，福在內	Angelic Devil	도깨비 팬티
マメで掴める幸せ	用豆子抓住的幸福	Dracula Donates Blood	드라큘라의 헌혈
渡る世間。	這個世間	My Pet Werewolf	늑대인간견
幸福への近道	通往幸福的捷徑	Sunbathing Mummies	미라의 선탠
魂で契約	靈魂的契約	Soul Leasing	관절염 강시
招かれざる福	不請自來的福	Lucifer Likes to Smile	헤벌쭉 타락천사
肉食らう悪魔	吃肉的惡魔	Zombies being Healthy	건강지향 좀비
禍福無門	禍福無門	Humans are Scarier	인간의 본심
雛壇あるある言いたい	花瓶明星常有的事	Bear Grills	지리산 반달곰
年中だしっぱ	擺了一整年	Bearly Dressed	직장인들의 소화제
おひな様がプラモデル	女王是塑膠模型	With a Ton of Padding	곰같은 마누라
雛壇芸人の苦悩	小咖藝人的苦惱	Bees with Ears	마늘과 쑥
一発屋潰し	紅極一時	Arming Bears	곰탕은 맛있어
大御所の防護壁	大咖的防護壁	Going Bipolar	웅담
ワイプ争奪戦	鏡頭爭奪戰	Fighting Bearhanded	남아프리카 북극곰
明日も楽しい雛祭	一團和氣和樂融融	Can't Bear Anymore	팬더곰
進撃の赤渦 激ムズ	進擊的紅漩渦 困難	Attack on R-Cyclone (Expert)	적소용돌이 고난도
進撃の黒渦 激ムズ	進擊的黑漩渦 困難	Attack on B-Cyclone (Expert)	흑소용돌이 고난도
進撃の白渦 激ムズ	進擊的白漩渦 困難	Attack on W-Cyclone (Expert)	백소용돌이 고난도
暗黒憑依 超激ムズ	暗黑附身 超級難	Dark Souls (Insane)	암흑빙의 초고난도
絶対防壁 超激ムズ	絕對防壁 超級難	Absolute Defence (Insane)	절대방벽 초고난도
狂戦士 超激ムズ	狂戰士 超級難	Berserk (Insane)	광전사 초고난도
キモフェス 超激ムズ	不蘇胡面貌 超級難	Festival Gross (Insane)	징글 축제 초고난도
ヘッドシェイカー 超激ムズ	搖頭者 超級難	Head Shaker (Insane)	헤드뱅잉 초고난도
猪鹿鳥 超激ムズ	豬鹿鳥 超級難	Flappy Cat (Insane)	까마귀 눈 초고난도
お魚地獄 超激ムズ	鮮魚地獄 超級難	Fish Hell (Insane)	활어회 초고난도
哺乳類？ 超激ムズ	哺乳類？ 超級難	Mammals? (Insane)	포유류? 초고난도
我を忘れた猫 超激ムズ	忘了自我的貓 超級難	Crazy Cats (Insane)	자아상실 초고난도
新入生に君がいた	新生中有你	Cat School Musical	너와 만났어
瞳で感じる恋心	以眼傳情	I can feel it	눈으로 말하는 사랑
秒速５センチメンタル	秒速5感傷	The Catbook	초속 5센치멘탈
私の恋愛通信簿	我的戀愛成績單	P.S Cat Loves You	비밀 연애통신부
愛情の裏返し	扭曲的愛情	100 Cat Dates	애정의 반대
慟哭	慟哭	Lament	통곡
やっぱ☆DA・I・SU・KI	就是喜歡你！	I L U	역시☆ 좋・아・해
はじめよう恋の詩	開始吧戀愛之詩	Let's Start Over	사랑의 노래
経験は蜜の味 初級	經驗如蜜 初級	Sweet XP (Easy)	경험은 꿀맛 초급
経験は蜜の味 中級	經驗如蜜 中級	Sweet XP (Normal)	경험은 꿀맛 중급
経験は蜜の味 上級	經驗如蜜 高級	Sweet XP (Hard)	경험은 꿀맛 상급
経験は蜜の味 超上級	經驗如蜜 超高級	Sweet XP (Veteran)	경험은 꿀맛 초상급
経験は蜜の味 激ムズ	經驗如蜜 困難	Sweet XP (Expert)	경험은 꿀맛 고난도
経験は蜜の味 超激ムズ	經驗如蜜 超級難	Sweet XP (Insane)	경험은 꿀맛 초고난도
経験は蜜の味 初級	經驗如蜜 初級	Sweet XP (Easy)	경험은 꿀맛 초급
経験は蜜の味 中級	經驗如蜜 中級	Sweet XP (Normal)	경험은 꿀맛 중급
経験は蜜の味 上級	經驗如蜜 高級	Sweet XP (Hard)	경험은 꿀맛 상급
経験は蜜の味 超上級	經驗如蜜 超高級	Sweet XP (Veteran)	경험은 꿀맛 초상급
経験は蜜の味 激ムズ	經驗如蜜 困難	Sweet XP (Expert)	경험은 꿀맛 고난도
経験は蜜の味 超激ムズ	經驗如蜜 超級難	Sweet XP (Insane)	경험은 꿀맛 초고난도
コイにつかれて	疲於戀愛	Liking Love	행락 시즌의 도래
満腹！アヒルぐち	夠了！嘟嘴	No More Duckface!	갑자기 숲에서 조난
恐怖！既読放置	恐怖！已讀不回	Read but No Reply	정신이 드니 저녁
最高！ネトゲデート	開心！網路遊戲約會	Online Dating!	돌아갈 수 없는 밤
衝撃！ラインブロック	打擊！LＩＮＥ封鎖	Blocked on FB!	물을 주세요
選択！仕事とアタシ	選擇！要我還是要工作	Work or Me!	일단 동굴로 피난
告白！友達に戻ろう	告白！做回朋友吧	Let's Just Be Friends	터널 밖은 은세계
それでも君にコイしてる！	就算這樣還是喜歡你！	Never Give Up!	여기는… 천국?
ウェディング騒動	婚禮騷動	Wedding Toils	웨딩데이 소동
出席代行の友人	代為出席的朋友	Sending a Friend	하객대행 친구들
いまどきゴンドラ	會場播著分手的歌曲	BGM is "Macarena"	절친의 하얀 원피스
社交辞令のブーケトス	例行的丟捧花	Bouquet Finds Water	등산복의 하객들
新郎側のしつこい下ネタ	新郎喋喋不休的開黃腔	Family Drama Woes	신부가 산 신혼집
間違えた花嫁の名	弄錯新娘的名字	Mistook Bride's Name	목적은 뷔페
元カノの祝辞	前女友的祝賀	Ex says I object	전여친의 등장
最終的に誓いません。	最終沒說我願意。	… No, I Do Not	맹세 거부
大腸のkomachi Angel	大腸的小城天使	Glutton Next Door	올해도 여름이..
もー夏休み	暑假到了	Summer Already?	빙수야 팥빙수야
猫にまつわるエトセトラ	貓影不離	Something About Cats	바다의 왕자님
真夏の果汁	真夏的果汁	Summertime Smoothie	해변으로 갈까요?
何も食えなくて・・・夏	無法進食的・・・夏天	Starving in Summer	썸머 땐스땐스
BOY MEATS GIRL	BOY MEATS GIRL	Boy Meats Girl	해변의 연인들
渚のサンドバッグ	海濱的聲巴達	Sandbags on the Cape	태양을 피하고 싶었어
シーズン・イン・ザ・ニャン	貓的季節	Right here, right meow	여름아! 부탁해!
父、あの世から帰宅	父親，從遠方回來	Dad's back to haunt us	귀신의 집으로
しかし家族は旅行中	但是全家旅行中	But we're on vacation	친구와 담력테스트
幽霊って壁抜けできないの？	幽靈不會穿牆嗎？	Can't pass thru walls?	자칭 영능력자
空も飛べると思ってた…	以為可以飛…	Just hit the skies!	보..보였어…!
保険金でブランド品	保險金換高級名牌	Wasting inheritance	그녀의 빨간팬티
まさかの墓参り代行	居然請人代為掃墓	Hiring fake mourners	사방은 칠흑어둠
仏壇がポスター	佛壇是海報	Grave is just plastic…	한명이 없어졌어!
もう私はそこにいません	我已經不在那	I'm not here anymore.	알고보니 혼자 집으로
スペシャル感謝！超激ムズ	特別感謝！ 超級難	Special Thanks! (Insane)	스페셜 감사! 초고난도
ウルトラ重圧！超激ムズ	超強重壓！ 超級難	Ultra Stress! (Insane)	울트라 중압! 초고난도
ミラクル日本侵略！超激ムズ	無敵重壓！ 超級難	Miracle Tactics! (Insane)	미라클 일본 침략! 초고난도
毎朝ジョギング	每天晨跑	Dawn Joggers	매일 아침 조깅
現役プロボクサー	現任職業拳擊手	Day Job = Boxers	맨손으로 곰때려잡기
老人ホームを５回脱出	從老人之家溜走5次	Escaping the Home	환갑 프로 복서
懲役300年の執行猶予中	執行３００年緩刑中	300 Years Probation	노인정 브레이커
素手で熊殺し	徒手殺熊	Bearhanded Brawler	징역300년 집행유예중
嫁が二十歳	老婆今年２０歲	Trophy Wives	와이프는 스무살
覇気が使える	能使用霸氣	Living the Dream	필살기는 에너지파
でも嫁の方が強い	還是老婆比較強	Wife Still the Boss	마눌님한텐 못이겨
ケリ技の極み！	極限踢技！		뒤돌려차기의 진수!
にゃんこ体操第一	貓咪體操第一	Gotta Warm Up First	강수확률 50%
練習しすぎ入場行進	練習過頭的入場	Awkward Entrance	냥코 체조 제1장
宣誓を先生だと思ってた	把典禮聽成舔你	Dad, No Videos!	기다려지는 엄마의 도시락
手汗とフォークダンス	手汗和土風舞	The Sack Race	아빠목엔 DSLR
素足だと速い伝説	赤腳跑很快的傳說	Faster Barefoot	기마전에서 전력 발휘
インチキ玉入れ	違規手球	Egg-Glue-Spoon	응원가는 립싱크
騎馬戦で見る本性	騎馬戰看本性	Chicken Run	손등에는 1등 도장
全員1位でいいじゃない	大家都第一名就好了呀！	Everyone Wins	올해의 MVP는 나!
進撃の天渦 激ムズ	進擊的天漩渦 困難	Oncoming Maelstrom (Expert)	진격의 천소용돌이 고난도
祝！２周年！！	賀！1週年紀念！	Grats! 2 Years!!	축！1주년!!
祝！２周年！！	賀！1週年紀念！	Grats! 2 Years!!	축！1주년!!
祝！２周年！！	賀！1週年紀念！	Grats! 2 Years!!	축！1주년!!
進撃の鉄屑 超激ムズ	進擊的鐵屑 超級難	Attack on Titanium (Insane)	진격의 철 부스러기 초고난도
初日の出！	初日東昇！	First Sunrise!	첫 일출!
女優進化への道 超上級	女優貓進化之路 超高級	Taking the Stage (Veteran)	여배우 진화로의 길 초상급
女優進化への道 超激ムズ	女優貓進化之路 超級難	Taking the Stage (Insane)	여배우 진화로의 길 초고난도
カンフー進化への道 激ムズ	功夫貓進化之路 困難	Path of Kung-Fu (Expert)	쿵후 진화로의 길 고난도
カンフー進化への道 超激ムズ	功夫貓進化之路 超級難	Path of Kung-Fu (Insane)	쿵후 진화로의 길 초고난도
Mr.進化への道 激ムズ	Mr.進化之路 困難	Mr.-ious Evolution (Expert)	Mr. 진화로의 길 고난도
Mr.進化への道 超激ムズ	Mr.進化之路 超級難	Mr.-ious Evolution (Insane)	Mr. 진화로의 길 초고난도
猫縛り進化への道 激ムズ	緊縛貓進化之路 困難	Bound to Evolve (Expert)	고양이 밧줄 진화로의 길 고난도
猫縛り 進化への道 超激ムズ	緊縛貓進化之路 超級難	Bound to Evolve (Insane)	고양이 밧줄 진화로의 길 초고난도
女王猫進化への道 激ムズ	女王貓進化之路 困難	Whipped into Shape (Expert)	여왕 고양이 진화로의 길 고난도
女王猫進化への道 超激ムズ	女王貓進化之路 超級難	Whipped into Shape (Insane)	여왕 고양이 진화로의 길 초고난도
箱詰め進化への道 激ムズ	箱貓進化之路 困難	Boxing Clever (Expert)	한박스 진화로의 길 고난도
箱詰め進化への道 超激ムズ	箱貓進化之路 超級難	Boxing Clever (Insane)	한박스 진화로의 길 초고난도
パンツ進化への道 激ムズ	三角褲貓進化之路 困難	No Frills Evolution (Expert)	팬티 진화로의 길 고난도
パンツ進化への道  超激ムズ	三角褲貓進化之路 超級難	No Frills Evolution (Insane)	팬티 진화로의 길 초고난도
リンリン進化への道 激ムズ	輪輪貓進化之路 困難	Hell on 3 Wheels (Expert)	세발 자전거 진화로의 길 고난도
リンリン進化への道 超激ムズ	輪輪貓進化之路 超級難	Hell on 3 Wheels (Insane)	세발 자전거 진화로의 길 초고난도
忍者進化への道 超上級	忍者貓進化之路 超高級	Way of the Ninja (Veteran)	닌자 진화로의 길 초상급
忍者進化への道 超激ムズ	忍者貓進化之路 超級難	Way of the Ninja (Insane)	닌자 진화로의 길 초고난도
ゾンビ進化への道 激ムズ	殭屍貓進化之路 困難	Shambling Along (Expert)	좀비 진화로의 길 고난도
ゾンビ進化への道 超激ムズ	殭屍貓進化之路 超級難	Shambling Along (Insane)	좀비 진화로의 길 초고난도
さむらい進化への道 超上級	武士貓進化之路 超高級	Way of the Samurai (Veteran)	무사 진화로의 길 초상급
さむらい進化への道 超激ムズ	武士貓進化之路 超級難	Way of the Samurai (Insane)	무사 진화로의 길 초고난도
スモウ進化への道 激ムズ	相撲貓進化之路 困難	Oh Yokozuna! (Expert)	스모 진화로의 길 고난도
スモウ進化への道 超激ムズ	相撲貓進化之路 超級難	Oh Yokozuna! (Insane)	스모 진화로의 길 초고난도
フィーバー進化への道 激ムズ	狂歡貓進化之路 困難	Boogie Up (Expert)	피버 진화로의 길 고난도
フィーバー進化への道 超激ムズ	狂歡貓進化之路 超級難	Boogie Up (Insane)	피버 진화로의 길 초고난도
スカート進化への道 超上級	短裙貓進化之路 超高級	Skirting Danger (Veteran)	스커트 진화로의 길 초상급
スカート進化への道 超激ムズ	短裙貓進化之路 超級難	Skirting Danger (Insane)	스커트 진화로의 길 초고난도
経験は極上の味 超激ムズ	經驗是上等好味 超級難	Refined Palate (Insane)	경험은 개꿀맛 초고난도
潜入作戦!「CHOCO」	潛入作戰！「CHOCO」	Mallow March	달콤한 초콜릿
奪還作戦!「OKAESHI」	奪還作戰！「OKAESHI」	Marzi Pain	달달한 마시멜로
忘れ去られた愛	遺忘之愛	Cavity Creeping	커져가는 스위트 러브
東の洞窟	東之洞窟	Eastern Cave	동쪽의 동굴
西の夜道	西之夜道	Western Walk	서쪽의 밤길
南の城	南之城	Southern Fort	남쪽의 성
北の火口	北之火口	Northern Crater	북쪽의 화구
にゃんこが3Dでとびだす！	3D立體貓咪來啦！	Poppin' in 3D!	냥코가 3D로 튀어나온다!
なんと友達と対戦！	和好友來場對決！	Fight your Friends!	친구와 대전가능!
友達と激アツバトル！	互揪好友同酣戰！	Player VS Player	냥코대전쟁! POP!
777円で遊び放題！	超低價格玩到飽！	Pay Only Once!	단돈 10000원!
追加課金無し！	無需額外付費！	No I-A-P!	추가 과금 없음!
超激レアをゲットせよ！	獲得超激角色吧！	Get Those Ubers	울슈레를 획득하라!
舞台は日本から世界！	舞臺從世界到了宇宙！	Conquer the Galaxy	세계에서 우주로!
でも一番面白いのはアプリ版！	但是最好玩的還是手遊版！	But the App's Fun Too :)	게임은 역시 어플버전!
進撃のブラックホール 超激ムズ	進擊的黑洞 超級難	Black Hole Rising (Insane)	진격의 블랙홀 초고난도
TWその１	秘傳的美味		
2000万人のハッピー！	2000萬人的HAPPY！	Joy of 20 Million!	2000만명의 해피!
暴風カーニバル 極ムズ	暴風祭 極難	Tornado Carnival (Deadly)	폭풍 카니발 극난도
開眼カーニバル 極ムズ	開眼祭 極難	Awakened Carnival (Deadly)	각성 카니발 극난도
ワンダフル制覇！ 超激ムズ	絕佳制霸！超級難	Wonderful Conquest (Insane)	원더풀 제패! 초고난도
ENその１	EN其１	Faster Than Fast Food	EN 첫번째
10月31日	10月31日	Sweet Samhain	10월 31일
カボチャちょうちん	南瓜燈籠	Lantern O'Jack	잭오랜턴
コスプレ大行列	變裝大遊行	Cosplay Carnival	코스프레 대행렬
トリックオアトリートメント	不給糖，就搗蛋	Trick or Treatment	트릭 오어 트릿
...ハロウィンって何？	…啥是萬聖節?	Hello Hello Halloween	할로윈이 모에욤..?
起源は秋の収穫祭	源自秋天的豐收祭	Harvest Festival	기원은 가을의 수확제
ネコボン屋敷 超上級	富二代的豪宅 超高級	Rich Cat (Veteran)	고양이 저택 초상급
爆速バトラー 超上級	極速戰鬥者 超高級	Speed Cat (Veteran)	광속 전사 초상급
おかめ道場 超上級	謀略道場 超高級	Cat Jobs (Veteran)	척척박사 초상급
狙撃の名手 超上級	狙擊神人 超高級	Sniper Cat (Veteran)	저격의 명수 초상급
ネコでもできるもん 超上級	貓咪也能做的事 超高級	Helpful Cat (Veteran)	가시밭길 초상급
絶メタル降臨 極ムズ	超級鋼鐵降臨 極難	Steel Visage (Deadly)	초 메탈 강림 극난도
エクセレント軍団！ 超激ムズ	卓越精英軍團！ 超級難	Elite Corps (Insane)	엑셀런트 군단! 초고난도
祝！３周年！！	賀！2週年！！	Grats! 3 Years!!	축! 3주년!!
サンタが町にやってくる	聖誕老人進城來	Coming to Town!	산타가 마을에 오다
トナカイ一揆	團結馴鹿們	Reindeer Games	순록이 다니는 길
ムチ打たれた日々	遭鞭打的每一天	Whipped Cream	매일 채찍을 맞아가며..
下剋上	下剋上	Coup d'Workshop	하극상
戦場のクリスマス	戰場上的聖誕節	War on Xmas	전장의 크리스마스
初日の出！	第一道曙光！	Year's First Dawn!	새해 일출!
成人進化への道 激ムズ	成人貓進化之路 困難	Growing Up (Expert)	냥코 성인 진화로의 길 고난도
成人進化への道 超激ムズ	成人貓進化之路 超級難	Growing Up (Insane)	냥코 성인 진화로의 길 초고난도
鬼である進化への道 激ムズ	我是鬼進化之路 困難	Something Wicked (Expert)	내가 도깨비라오 진화로의 길 고난도
鬼である進化への道 超激ムズ	我是鬼進化之路 超級難	Something Wicked (Insane)	내가 도깨비라오 진화로의 길 초고난도
ひなにゃんこ進化への道 激ムズ	人偶貓咪進化之路 困難	Dolled Up (Expert)	냥코 부부 진화로의 길 고난도
ひなにゃんこ進化への道 超激ムズ	人偶貓咪進化之路 超級難	Dolled Up (Insane)	냥코 부부 진화로의 길 초고난도
乙女進化への道 激ムズ	少女貓進化之路 困難	Order Maiden (Expert)	고양이 소녀 진화로의 길 고난도
乙女進化への道 超激ムズ	少女貓進化之路 超級難	Order Maiden (Insane)	고양이 소녀 진화로의 길 초고난도
マジコイ進化への道 激ムズ	至死不渝的戀情進化之路 困難	Carp A Diem (Expert)	물만난 물고기 진화로의 길 고난도
マジコイ進化への道 超激ムズ	至死不渝的戀情進化之路 超級難	Carp A Diem (Insane)	물만난 물고기 진화로의 길 초고난도
花嫁進化への道 激ムズ	新娘太太進化之路 困難	Bridal Blues (Expert)	신부 진화로의 길 고난도
花嫁進化への道 超激ムズ	新娘太太進化之路 超級難	Bridal Blues (Insane)	신부 진화로의 길 초고난도
女王様の休日進化への道 激ムズ	女王的假期進化之路 困難	End of Holiday (Expert)	여왕님의 휴일 진화로의 길 고난도
女王様の休日進化への道 超激ムズ	女王的假期進化之路 超級難	End of Holiday (Insane)	여왕님의 휴일 진화로의 길 초고난도
うらめしにゃん進化への道 激ムズ	幽魂吶吶進化之路 困難	No Need to Curse! (Expert)	처녀귀신 냥코 진화로의 길 고난도
うらめしにゃん進化への道 超激ムズ	幽魂吶吶進化之路 超級難	No Need to Curse! (Insane)	처녀귀신 냥코 진화로의 길 초고난도
カンフーG進化への道 激ムズ	功夫貓G進化之路 困難	Old Master (Expert)	쿵후 냥코G 진화로의 길 고난도
カンフーG進化への道 超激ムズ	功夫貓G進化之路 超級難	Old Master (Insane)	쿵후 냥코G 진화로의 길 초고난도
運動会進化への道 激ムズ	運動會貓進化之路 困難	Sweat and Tears (Expert)	운동회 진화로의 길 고난도
運動会進化への道 超激ムズ	運動會貓進化之路 超級難	Sweat and Tears (Insane)	운동회 진화로의 길 초고난도
リーマン進化への道 激ムズ	上班族貓進化之路 困難	Nine to Five Fever (Expert)	고양리맨 진화로의 길 고난도
リーマン進化への道 超激ムズ	上班族貓進化之路 超級難	Nine to Five Fever (Insane)	고양리맨 진화로의 길 초고난도
トナカイ進化への道 激ムズ	馴鹿魚進化之路 困難	Reindeer Road (Expert)	순록피쉬 진화로의 길 고난도
トナカイ進化への道 超激ムズ	馴鹿魚進化之路 超級難	Reindeer Road (Insane)	순록피쉬 진화로의 길 초고난도
ネコ補完計画 極ムズ	貓咪補完計劃 極難	No Plan A (Deadly)	고양이 보완 계획 극난도
進撃の暴風渦 超激ムズ	進擊的暴風渦 超級難	Oncoming Storm (Insane)	진격의 폭풍 소용돌이 초고난도
翠の誘惑 上級	翡翠誘惑 高級	Green Envy (Hard)	비취의 유혹 상급
翠の誘惑 激ムズ	翡翠誘惑 困難	Green Envy (Expert)	비취의 유혹 고난도
翠の誘惑 超激ムズ	翡翠誘惑 超級難	Green Envy (Insane)	비취의 유혹 초고난도
紫電一閃 上級	紫電一閃 高級	Violet Flash (Hard)	자전일섬 상급
紫電一閃 激ムズ	紫電一閃 困難	Violet Flash (Expert)	자전일섬 고난도
紫電一閃 超激ムズ	紫電一閃 超級難	Violet Flash (Insane)	자전일섬 초고난도
紅の情熱 上級	紅色熱情 高級	Red Passions (Hard)	타오르는 정열 상급
紅の情熱 激ムズ	紅色熱情 困難	Red Passions (Expert)	타오르는 정열 고난도
紅の情熱 超激ムズ	紅色熱情 超級難	Red Passions (Insane)	타오르는 정열 초고난도
蒼の幻惑 上級	蒼天幻惑 高級	Blue Illusion (Hard)	푸르스름한 현혹 상급
蒼の幻惑 激ムズ	蒼天幻惑 困難	Blue Illusion (Expert)	푸르스름한 현혹 고난도
蒼の幻惑 超激ムズ	蒼天幻惑 超級難	Blue Illusion (Insane)	푸르스름한 현혹 초고난도
怪光の煌めき 上級	神秘光芒 高級	Rays of Gold (Hard)	괴광의 반짝임 상급
怪光の煌めき 激ムズ	神秘光芒 困難	Rays of Gold (Expert)	괴광의 반짝임 고난도
怪光の煌めき 超激ムズ	神秘光芒 超級難	Rays of Gold (Insane)	괴광의 반짝임 초고난도
デスモヒカン 極ムズ	死亡摩希根 極難	Deathhawk (Deadly)	데스모히칸 극난도
護謨要塞 極ムズ	橡膠要塞 極難	Vulcanizer (Deadly)	고무요새 극난도
最凶戦士 極ムズ	最兇戰士 極難	Unjust War (Deadly)	최흉전사 극난도
ムキフェス 極ムズ	神威凜凜 極難	Muscle Party (Deadly)	불끈 페스티벌 극난도
獅子累々 極ムズ	獅群累累 極難	Lots O' Lion (Deadly)	사자갈기 극난도
蝶！猪鹿鳥 極ムズ	蝶！豬鹿鳥 極難	Forest Beasts (Deadly)	광박! 고도리! 극난도
鬼ヶ島ＤＸ 極ムズ	鬼島DX 極難	Ogre Island (Deadly)	아일랜드DX 극난도
狂竜？ 極ムズ	狂龍？ 極難	Draconian (Deadly)	광룡? 극난도
ネコハザード 極ムズ	貓咪大冒險 極難	Resident Feline (Deadly)	고양이 하자드 극난도
深紅の悲劇 超激ムズ	深紅悲劇 超級難	Tragedy in Red (Insane)	심홍의 비극 초고난도
厄災飛来 超激ムズ	飛來橫禍 超級難	Explosion in the Sky (Insane)	액운비래 초고난도
みやこめっせで開催！			
機々械々 超激ムズ	機機械械 超級難	Nuts 'n' Bolts (Expert)	기기계계초고난도
ほめろ！彼女の浴衣	稱讚吧！她的浴衣	Short Shorts	칭찬하라! 그녀의 유카타
不動の射的景品	不動的射擊獎品	Squirtgun Warfare	부동의 사격 경품
超硬質りんごアメ	超硬糖葫蘆	Candy Apple Dentistry	완전 딱딱한 사과사탕
やぶ蚊との死闘	與蚊蟲的死戰	Mosquito Hell	깔따구와의 사투
降りかかる火の粉	煙花火星降滿身	Sparkler Heaven	흩날리는 불티
君がいた夏祭り	有你的夏日祭典	Backyard BBQ	네가 있던 여름 축제
差出人不明	寄件者不明	Sender Unknown	보낸이 불명
修羅の道 極ムズ	修羅道 極難	Realm of Carnage (Deadly)	아수라의 길 극난도
翠の誘惑 上級	翡翠誘惑 高級	Green Envy (Hard)	비취의 유혹 상급
翠の誘惑 激ムズ	翡翠誘惑 困難	Green Envy (Expert)	비취의 유혹 고난도
翠の誘惑 超激ムズ	翡翠誘惑 超級難	Green Envy (Insane)	비취의 유혹 초고난도
ハニートラップ 極ムズ	美人計 極難	Honey Trap (Deadly)	허니 트랩 극난도
暴風カーニバル2 極ムズ	暴風祭2 極難	Tornado Carnival II (Deadly)	폭풍 카니발2 극난도
開眼カーニバル2 極ムズ	開眼祭2 極難	Awakened Carnival II (Deadly)	각성 카니발2 극난도
タコなしタコ焼き	章魚燒不加章魚	Meatless Wieners	팥 없는 붕어빵
粉物屋と揚げ物屋	煎煮炒炸統統有	Deep Fried Air	3개 5000원
焦げても売り物	焦了也要拿來賣	Burnt to Perfection	태워도 인기 최고
もちろん産地偽装	當然要產地造假	Not Quite Organic	물론 원산지 표기 위반
ピンチ！おつりが無い	糟糕！老闆沒零錢	Outta Change...	거스름돈 부족
なぜ！完売赤字	誇張！賣完卻賠錢	Always In the Red	다 팔았지만 적자
輪廻の業渦 超激ムズ	輪迴的業障渦 超級難	Unholy Tempest (Insane)	윤회의 업과 초고난도
祝！４周年！！	賀！4週年！！	Four Years of Fun!!	축! 3주년!!
経験は超極上の味 極ムズ	經驗是終極美味 極難	Tempered in Flame (Deadly)	경험은 초개꿀맛 극난도
白い変人達	白色怪人們	Langue de Chat	냥코 왕국
White Dove	白鴿	White Dove	White Dove
なぐり雪	慘雪	Snow at Dawn	12월 32일
ロマンスの仏様	歸西羅曼史	Buddha of Romance	냥코홀로 집에
ゲレンデがとけるほど恋死体	戀死滑雪場	Icy Desire	내입술 따뜻한 고양이처럼
初日の出！	第一道曙光！	Year's First Dawn	새해 일출!
蘇る野生の血	野性本能覺醒	Savage Instinct	되살아나는 야생의 피
血に染まった爪	染血狂爪	Bloodstained Claws	피로 물든 손톱
222事件	222事件	The 222 Incident	2월 22일 
死者の行進 極ムズ	死者的遊行 極難	Parade of the Dead (Deadly)	망자의 행진 극난도
復活祭	復活祭	Season of Rebirth	부활절
イースターバニー	復活節兔子	Bunny Bros.	이스타바니
孤島のエッグハント	孤島大獵蛋	Island Egg Hunt	아일랜드 에그헌트
先住民	先住民	Native Cultures	원주민
