jp	tw	en	kr
破壊神ジャガンドー	破壞神邪根德	Lord of Ruin Jagando	파괴신 자간드
操られしネコ女王	受操控的貓咪女王	Possessed Empress	조종당하는 고양이 여왕
大玉（白）	大球（白色）	Large White Ball	큰 구슬 (하양)
大玉（赤）	大球（紅色）	Large Red Ball	큰 구슬 (빨강)
大玉（鉄）	大球（鋼鐵）	Large Iron Ball	큰 구슬 (철)
インキュベーター	孵化者	Incubator	인큐베이터
風（白）	陣風（白色）	White Wind	바람 (하양)
風（赤）	陣風（紅色）	Red Wind	바람 (빨강)
風（黒）	陣風（黑色）	Black Wind	바람 (검정)
マデューさん	魚尾石惡魔	Medu-san	마두군
シスターデビル	惡魔接待員	Miz Devil	미스터 데빌
サタンカーメン8号	惡魔法老8號	Sathankhamun VIII	사탄 가면 8호
ミッドナイトナカイ	惡夜馴鹿	Midnite D.	미드나이트 순록
デビルカツヤ	惡魔達也	Ackey	데빌 해마
デスコアラッキョ	惡魔無尾熊球	Deathkory	데스 코알락교
仮面のネコ仙人	假面的貓咪仙人	Masked Grandmaster Cat	가면의 고양이 신선
レッド・エナG	紅鬣狼G	Red EnerG	레드 에나 G
大天使エクスエル	特大號大天使	Archangel Exiel	대천사 엑스엘
ビッグペンZ	巨大企鵝大哥Z	Big Peng Z	빅펜 Z
花火玉	煙火球	Firecracker	폭죽 구슬
超古獣ナーラ	超古獸納拉	Ultima Beast Naala	초 고대수 나라
トロリンチョ	不死的水豚	Zapy	토로린초
野生のわんこ	野生狗仔	Wild Doge	야생의 멍뭉이
超鳥獣アヒルジョー	超鳥獸鴨子喬	Casaurian Ahirujo	초조수 오리쿡
超竜獣オウルハズク	超龍獸眉毛角鴞	Pterowl Hazuku	초룡수 부엉소쩍
超甲獣シザーレックス	超甲獸寄居剪刀手	Crustaceous Scissorex	초갑수 시저렉스
オオウサ銀	巨大臭老兔	J.J. Jackrabbit	파워 엘리트래빗
ちびわんこ	小小狗仔	Li'l Doge	꼬맹이 멍뭉이
古兵器マンボロス	古兵器生化魚	Golem Sunfish	고대 병기 개복치
超棘獣ナマケモルガ	超棘獸樹懶魔	THE FOLIVOREAN	초극수 느르가보르가
超闇獣ダックジョー	超闇獸水鴨喬	Casaurian Darkjo	초암수 오리가루루
ハニワンワン	埴輪狗狗	Haniwanwan	토용뭉이
超天獣ラジャコング	超天獸金猩王	Angelic Beast Rajakong	초천수 라자콩
超爆獣アリアント	超爆獸不死蟻	Formicidaean Ariant	초폭수 아리앤트
大天使チビネル	大天使小海蝶	Great Angel Chibinel	대천사 꼬마넬
ネコ神面のウララー	貓神面烏拉拉	Spiritual Yulala	고양이 가면신 우라라
さくら	櫻	Sakura	카스가노 사쿠라
ルーク	路克	Luke	루크
超翼獣ピヨルーツ	超翼獸起源小雞	Cumulus Gallus	초익수 뼝아루츠
超古獣マガモジョー	超古獸摩鴨喬	Ancient Magamojoe	초고대수 오리야크
超猿獣ルーザ	超猿獸露薩	Great Ape Luza	초원수 루자
超生命体ゼロルーザ	超生命體傑洛露薩	Zero Luza	초생명체 제로 루자
メタフィリバスター	異界阻撓貓	Metafilibuster	메타 필리버스터
殺意のタンクネコ	殺意坦克貓	Killer Tank Cat	살의의 탱크 고양이
超舌獣ラングマスター	超舌獸長舌大師	Vermilingua Rangmaster	초설수 랑그마스터
ネコエッグ３	彩蛋貓之３	Easter Egg Cat	고양이 에그3
デヴィル夫人	艷魔貴賓	Devil Wife	데빌 귀부인
オーメンズ	巨大三惡魔	Omens	오멘즈
ミニホワイトサイクロン	迷你白色旋風	Mini White Cyclone	미니 화이트 사이클론
超炎獣テオニール	超炎獸提歐尼爾	Infernal Pegasus Deonil	초염수 테오니르
超豚獣ピーギィ	超豬獸小朱	Suidae Piggicus	초돈수 피기
超象獣パパオウ	超象獸澎澎歐	Elephantidae Papaou	초상수 빠빠옹
大魔王ニャンダム	大魔王貓彈	Infernal Tyrant Nyandam	대마왕 야옹마
大魔道士ミモーン	大魔導士迷魔	Grand Mage Mimon	대마도사 미몬
赤髪のビューティムキにゃん	紅髮小雪貓	Redhead Yuki Cat	빨간 머리 불끈 고양이 유키
エヴァ第１３号機	EVA第13號機	EVA Unit-13	에바 13호기
聖天ゴクラッコ	聖天極破壞一族	Lutrinae Gokurakko	성천 두드리엘
超暴獣イビルージョン	超爆獸恐暴約翰	Iguanidae Ibilujon	초공수 이블존
超魚獣アンガブル	超魚獸不死燈魚	Lophiiformes Angaburu	초어수 아귀가블
川野かわわっぱ	爸氣妖怪河童	Kappy Kawano	Mr.가아아파
メガメェメェ	機械咩咩	Mega Baa Baa	메가 메에메에
超牙獣クロコックス	超牙獸鱷魚雷克斯	Crocodylidae Kurocroc	초아수 아거렉스
ミニエンジェルサイクロン	迷你天使旋風	Mini Angel Cyclone	미니 엔젤 사이클론
超禍獣シングリオン	超禍獸真格利昂	Ensanglion the Calamity	초화수 싱글리온
極悪なネコモヒカン	極惡摩西根貓	Malevolent Mohawk Cat	극악의 고양이 모히칸
極悪なゴムネコ	極惡橡皮貓	Malevolent Eraser Cat	극악의 고무 고양이
極悪な暗黒ネコ	極惡暗黑貓	Malevolent Dark Cat	극악의 암흑 고양이
極悪なムキあしネコ	極惡筋肉美腿貓	Malevolent Macho Leg Cat	극악의 불끈다리 고양이
極悪なネコライオン	極惡獅子貓	Malevolent Lion Cat	극악의 고양이 라이온
極悪な天空のネコ	極惡天空之貓	Malevolent Flying Cat	극악의 천공의 고양이
極悪なネコ島	極惡島貓	Malevolent Island Cat	극악의 고양이 섬
極悪なネコキングドラゴン	極惡龍王貓	Malevolent King Dragon Cat	극악의 고양이 킹드래곤
極悪なネコジャラミ	極惡賈拉米貓	Malevolent Jamiera Cat	극악의 고양이 쟈라미
大王の化身		King's Mimic	대왕의 화신
わんわん大王		King Doge	멍뭉 대왕
ケーキわんこ		11th Anniv. Doge Cake	11주년 기념 케이크 멍뭉이
ネコ神面のウリル	貓咪神面烏嚕哩	Esoteric Uril	고양이 가면신 우리르
ソル・デ・ロカ	太陽神羅卡	SOL DAE ROKKER	솔 데 로카
論の賢者ソラクティス	論之賢者蘇拉格底	Sage of Mind Soractes	논리의 현자 소라크테스
名賢わんこ	名賢狗仔	Dogenstein	견자 멍뭉이
天使メガミエル	天使眼鏡猴人	Tarsiriel	천사 글래시엘
ドヴェルダーク	黑暗杜賓	Dark Dober	도베르 다크
大型土器ダイハニワン	大型陶器埴輪巨犬	Gigahaniwan	그레이트 토용뭉이
謎の厄災		Mysterious Calamity	수수께끼의 재앙
操られしわんわん大王		Possessed King Doge	조종당하는 멍뭉 대왕
染香綺狐 ‧ 妲己	染香綺狐 ‧ 妲己	Voluptuous Peony - Daji	염향기호 다지
瘋頭	瘋頭	Madhead	미친머리
緋村剣心	緋村劍心	Kenshin Himura	히무라 켄신
相楽左之助	相樂左之助	Sanosuke Sagara	사가라 사노스케
四乃森蒼紫	四乃森蒼紫	Aoshi Shinomori	시노모리 아오시
斎藤一	齋藤一	Hajime Saito	사이토 하지메
ドクターK.O.	KO博士袋拳	Doctor K.O.	닥터 K.O.
テク・ノロ爺	鬣老狼G	Techn-Old Hyena	테크 놀로 G
丸太	原木	Log	통나무
大岩	大石頭	Boulder	바위
ツバサターン	魔王燕	Diabrollow	사탄 제비
ダ・チョー老	不死老鴕鳥	Oldstrich	언데드 타조
生命の賢者Dr.ノーヴァ	生命賢者Dr. 諾瓦	Sage of Life Dr. Nova	생명의 현자 Dr.노바
イディ:Ne	異弟:Ne	Idi:Ne	이디:Ne
ネコ給食当番	打飯貓	Cafeteria Cat	고양이 급식당번
足軽わんこ	足輕狗仔	Bannerman Doge	졸병 멍뭉이
武将カオル君	武將臉君	Commander Face	장수 대갈이군
武将ニャンダム	武將貓彈	Commander Nyandam	장수 야옹마
武将般若我王	武將般若我王	Commander Hannya	장수 반야아왕
武将ぶんぶん	武將噴噴	Commander Bun Bun	장수 맴매 선생
反逆の戦国魔王・織田信長	反叛的戰國魔王・織田信長	Revolutionary Nobunaga	반역의 마왕 하데스
12周年記念ケーキわんこ			
巳わんこ	蛇年狗仔	Snache Doge	뱀 멍뭉이
謎の雪山	神秘雪山	Mystery Snowmound	수수께끼의 설산
ふくろう博士	眉毛角鴞博士	Prof. Owlbrowley	부엉이 박사
超拳獣ブンナグリオス	超拳獸超派噴噴	Xenobeast Bunaglios	초권수 맴매테리우스
シャチコ	遠古虎鯨	Shachiko	범자
ネコヴァルキリー・聖	瓦爾基麗貓・聖	Holy Valkyrie Cat	고양이 발키리・성
覚醒のネコムート	覺醒姆特貓	Awakened Bahamut Cat	각성의 고양이 무트
チョコサプネコカプセル	巧克力驚奇蛋貓	Choco Capsule	초코서프 고양이 캡슐
殺意のキモネコ	殺意噁心貓	Killer Gross Cat	살의의 징글 고양이
ペリ艦長	培鴨艦長	Perry Duche	페리 함장
テッポー	赤臉河豚	Puffzerker	텟포
アンドロメ・ダ長官	仙女鴕鳥長	Commander Ostromeda	안드로메 타조
範馬刃牙	範馬刃牙	Baki Hanma	한마 바키
烈海王	烈海王	Retsu Kaioh	레츠 카이오
花山薫	花山薰	Kaoru Hanayama	하나야마 카오루
愚地克巳	愚地克巳	Katsumi Orochi	오로치 카츠미
ジャック・ハンマー	傑克・範馬	Jack Hammer	잭 한마
理の賢者ニュトーン	理之賢者扭頓	Sage of Logic Newton	이치의 현자 뉴톤
ソニック	索尼克	Sonic	소닉
テイルス	塔爾斯	Tails	테일즈
ナックルズ	納克魯斯	Knuckles	너클즈
シャドウ	夏特	Shadow	섀도우
エンジェ・ルース	天使魯斯	Ange Lackey	엔제 루스
南国わんこ	熱帶狗仔	South Seas Doge	남국 멍뭉이
南国ラッコ	熱帶海獺	South Seas Otter	남국 두드리
エヴァ量産機	EVA量產機	Mass Production EVA	에바 양산기
ウィスキングマイスター	桑拿達人無尾熊	Whiskingmeister	사우나 마이스터
大花火職人	大煙火職人	Fireworks Gang	대형 폭죽 장인
ジャンボーグ鈴木	巨大生化魚鈴木	Jumbo Jones	대천사 개복치
ダッフンデッド	拉腸不死狗	Deathshund	데스도그
クロマジロ	漆黑犰狳	Darkmadillo	다크마딜로
ネコ店長＆ネコ店員			
キャミィ	倩咪	Cammy	캐미
ジュリ	蛛俐	Juri	주리
怪人わんこ			
ワルザベス			
ミセス・ペン			
カオ男爵			
ビッグカオ男爵			
コワラッキョ夫人			
ダイコワラッキョ夫人			
極悪大帝ワルモーン			
超極悪大帝ワルモーン			
13周年記念ケーキわんこ			
午わんこ	馬年狗仔	Horse Doge	말 멍뭉이
累			
魘夢			
猗窩座			
鬼化わんこ			
鬼化ゴリさん			
鬼化クマ先生			
	龍年狗仔	Dragon Doge	용 멍뭉이
		Jar Base	항아리 성
